id,customer_id,status,shipping_address_country,created_at,updated_at
1,1,completed,US,2022-01-10 09:00:00,2022-01-15 14:00:00
2,2,completed,UK,2022-01-12 11:30:00,2022-01-18 10:00:00
3,3,completed,CA,2022-01-20 14:00:00,2022-01-25 09:00:00
4,1,completed,US,2022-02-03 08:30:00,2022-02-08 11:00:00
5,4,returned,US,2022-02-05 10:00:00,2022-02-20 15:00:00
6,5,completed,AU,2022-02-14 16:30:00,2022-02-20 12:00:00
7,6,completed,US,2022-03-01 09:15:00,2022-03-07 10:00:00
8,7,completed,SG,2022-03-10 13:00:00,2022-03-16 09:30:00
9,2,completed,UK,2022-03-22 11:45:00,2022-03-28 14:00:00
10,8,cancelled,US,2022-04-01 08:00:00,2022-04-02 09:00:00
11,9,completed,UK,2022-04-05 15:20:00,2022-04-11 10:00:00
12,10,completed,US,2022-04-18 12:30:00,2022-04-24 11:00:00
13,11,completed,CA,2022-05-02 09:45:00,2022-05-08 14:30:00
14,3,returned,CA,2022-05-10 10:15:00,2022-05-25 09:00:00
15,12,completed,US,2022-05-20 14:00:00,2022-05-26 10:00:00
16,5,completed,AU,2022-06-01 11:30:00,2022-06-07 12:00:00
17,13,completed,AU,2022-06-12 08:45:00,2022-06-18 09:00:00
18,1,completed,US,2022-06-25 16:00:00,2022-07-01 11:00:00
19,14,cancelled,US,2022-07-03 09:30:00,2022-07-04 08:00:00
20,15,completed,UK,2022-07-15 13:15:00,2022-07-21 14:00:00
21,6,completed,US,2022-07-28 10:00:00,2022-08-03 11:30:00
22,16,completed,US,2022-08-05 09:00:00,2022-08-11 10:00:00
23,17,completed,DE,2022-08-14 14:30:00,2022-08-20 09:00:00
24,9,completed,UK,2022-08-22 11:00:00,2022-08-28 12:00:00
25,18,completed,MX,2022-09-01 15:45:00,2022-09-07 10:00:00
26,2,completed,UK,2022-09-10 08:30:00,2022-09-16 11:00:00
27,19,completed,US,2022-09-20 12:00:00,2022-09-26 09:30:00
28,7,completed,SG,2022-10-02 10:15:00,2022-10-08 14:00:00
29,20,returned,CA,2022-10-12 09:00:00,2022-10-27 10:00:00
30,11,completed,CA,2022-10-25 13:30:00,2022-10-31 11:00:00
31,1,completed,US,2022-11-02 08:45:00,2022-11-08 10:00:00
32,5,completed,AU,2022-11-15 14:00:00,2022-11-21 09:00:00
33,12,completed,US,2022-11-28 11:30:00,2022-12-04 12:00:00
34,15,completed,UK,2022-12-05 09:15:00,2022-12-11 10:30:00
35,3,completed,CA,2022-12-18 16:00:00,2022-12-24 09:00:00
