id,order_id,product_id,quantity,unit_price_cents
1,1,1,1,14999
2,1,5,2,1299
3,2,6,1,5999
4,3,2,1,4999
5,3,7,1,2499
6,4,11,1,29999
7,5,4,1,12999
8,6,3,1,8999
9,7,19,1,7999
10,8,8,1,15999
11,9,6,1,5999
12,9,10,3,899
13,10,13,1,9999
14,11,9,2,6999
15,12,1,1,14999
16,12,16,1,1499
17,13,2,2,4999
18,14,4,1,12999
19,15,11,1,29999
20,16,3,1,8999
21,16,17,1,3999
22,17,14,1,17999
23,18,20,1,8999
24,18,18,1,4999
25,19,11,1,29999
26,20,1,1,14999
27,20,5,1,1299
28,21,6,2,5999
29,22,13,1,9999
30,23,19,1,7999
31,24,8,1,15999
32,25,2,1,4999
33,25,7,2,2499
34,26,9,1,6999
35,27,12,1,3499
36,27,16,2,1499
37,28,1,1,14999
38,28,10,2,899
39,29,4,1,12999
40,30,11,1,29999
41,31,20,1,8999
42,32,3,1,8999
43,32,17,1,3999
44,33,6,1,5999
45,34,14,1,17999
46,35,2,1,4999
47,35,7,1,2499
48,35,16,1,1499
