order_id,customer_id,order_date,product_id,amount,status,region
ORD_0001,CUST_001,2024-01-03,PROD_004,249.99,COMPLETED,US-EAST
ORD_0002,CUST_006,2024-01-07,PROD_001,899.00,COMPLETED,US-WEST
ORD_0003,CUST_003,2024-01-09,PROD_008,54.50,COMPLETED,EU-WEST
ORD_0004,CUST_012,2024-01-12,PROD_002,1249.00,COMPLETED,APAC
ORD_0005,CUST_008,2024-01-15,PROD_011,34.95,CANCELLED,US-EAST
ORD_0006,CUST_002,2024-01-18,PROD_007,179.00,COMPLETED,EU-WEST
ORD_0007,CUST_018,2024-01-22,PROD_001,899.00,COMPLETED,US-EAST
ORD_0008,CUST_005,2024-01-25,PROD_013,89.00,PENDING,APAC
ORD_0009,CUST_014,2024-01-28,PROD_003,3499.99,COMPLETED,US-WEST
ORD_0010,CUST_007,2024-02-02,PROD_006,139.00,COMPLETED,EU-CENTRAL
ORD_0011,CUST_001,2024-02-05,PROD_010,299.00,REFUNDED,US-EAST
ORD_0012,CUST_011,2024-02-08,PROD_005,59.95,COMPLETED,US-EAST
ORD_0013,CUST_009,2024-02-11,PROD_002,1249.00,COMPLETED,EU-WEST
ORD_0014,CUST_019,2024-02-14,PROD_015,149.00,COMPLETED,APAC
ORD_0015,CUST_004,2024-02-17,PROD_009,74.99,CANCELLED,CA-EAST
ORD_0016,CUST_006,2024-02-20,PROD_001,899.00,COMPLETED,US-WEST
ORD_0017,CUST_013,2024-02-23,PROD_012,44.50,COMPLETED,EU-CENTRAL
ORD_0018,CUST_018,2024-02-26,PROD_004,249.99,COMPLETED,US-EAST
ORD_0019,CUST_015,2024-03-01,PROD_007,179.00,COMPLETED,EU-WEST
ORD_0020,CUST_003,2024-03-05,PROD_014,199.00,COMPLETED,EU-WEST
ORD_0021,CUST_001,2024-03-08,PROD_002,1249.00,COMPLETED,US-EAST
ORD_0022,CUST_012,2024-03-12,PROD_003,3499.99,COMPLETED,APAC
ORD_0023,CUST_008,2024-03-15,PROD_011,34.95,COMPLETED,US-EAST
ORD_0024,CUST_020,2024-03-18,PROD_005,59.95,PENDING,CA-WEST
ORD_0025,CUST_007,2024-03-22,PROD_008,54.50,COMPLETED,EU-CENTRAL
ORD_0026,CUST_017,2024-04-01,PROD_001,899.00,COMPLETED,EU-CENTRAL
ORD_0027,CUST_006,2024-04-05,PROD_006,139.00,REFUNDED,US-WEST
ORD_0028,CUST_014,2024-04-09,PROD_010,299.00,COMPLETED,US-WEST
ORD_0029,CUST_011,2024-04-13,PROD_013,89.00,COMPLETED,US-EAST
ORD_0030,CUST_002,2024-04-17,PROD_003,3499.99,COMPLETED,EU-WEST
ORD_0031,CUST_019,2024-04-21,PROD_009,74.99,COMPLETED,APAC
ORD_0032,CUST_005,2024-04-25,PROD_015,149.00,CANCELLED,APAC
ORD_0033,CUST_018,2024-05-01,PROD_004,249.99,COMPLETED,US-EAST
ORD_0034,CUST_001,2024-05-06,PROD_007,179.00,COMPLETED,US-EAST
ORD_0035,CUST_009,2024-05-11,PROD_001,899.00,COMPLETED,EU-WEST
ORD_0036,CUST_013,2024-05-16,PROD_002,1249.00,COMPLETED,EU-CENTRAL
ORD_0037,CUST_003,2024-05-21,PROD_012,44.50,COMPLETED,EU-WEST
ORD_0038,CUST_015,2024-06-01,PROD_014,199.00,COMPLETED,EU-WEST
ORD_0039,CUST_012,2024-06-06,PROD_005,59.95,COMPLETED,APAC
ORD_0040,CUST_006,2024-06-11,PROD_011,34.95,REFUNDED,US-WEST
ORD_0041,CUST_017,2024-07-02,PROD_003,3499.99,COMPLETED,EU-CENTRAL
ORD_0042,CUST_014,2024-07-08,PROD_008,54.50,COMPLETED,US-WEST
ORD_0043,CUST_004,2024-07-14,PROD_006,139.00,COMPLETED,CA-EAST
ORD_0044,CUST_020,2024-07-20,PROD_010,299.00,PENDING,CA-WEST
ORD_0045,CUST_001,2024-08-01,PROD_001,899.00,COMPLETED,US-EAST
ORD_0046,CUST_018,2024-08-10,PROD_015,149.00,COMPLETED,US-EAST
ORD_0047,CUST_002,2024-09-03,PROD_002,1249.00,COMPLETED,EU-WEST
ORD_0048,CUST_007,2024-10-07,PROD_004,249.99,COMPLETED,EU-CENTRAL
ORD_0049,CUST_019,2024-11-14,PROD_013,89.00,COMPLETED,APAC
ORD_0050,CUST_011,2024-12-20,PROD_007,179.00,COMPLETED,US-EAST
